layer,cosine_similarity,example_id,filler_type,position_ratio,total_tokens,experiment
1,0.9990761,example_0007,natural,0.5,4096,bloat_sweep
2,0.99863213,example_0007,natural,0.5,4096,bloat_sweep
3,0.99723595,example_0007,natural,0.5,4096,bloat_sweep
4,0.99620926,example_0007,natural,0.5,4096,bloat_sweep
5,0.99155396,example_0007,natural,0.5,4096,bloat_sweep
6,0.9875964,example_0007,natural,0.5,4096,bloat_sweep
7,0.98418987,example_0007,natural,0.5,4096,bloat_sweep
8,0.9827536,example_0007,natural,0.5,4096,bloat_sweep
9,0.98216546,example_0007,natural,0.5,4096,bloat_sweep
10,0.9800868,example_0007,natural,0.5,4096,bloat_sweep
11,0.97680265,example_0007,natural,0.5,4096,bloat_sweep
12,0.9495984,example_0007,natural,0.5,4096,bloat_sweep
13,0.93473226,example_0007,natural,0.5,4096,bloat_sweep
14,0.95343006,example_0007,natural,0.5,4096,bloat_sweep
15,0.95624775,example_0007,natural,0.5,4096,bloat_sweep
16,0.9431131,example_0007,natural,0.5,4096,bloat_sweep
17,0.95583224,example_0007,natural,0.5,4096,bloat_sweep
18,0.9569409,example_0007,natural,0.5,4096,bloat_sweep
19,0.9338827,example_0007,natural,0.5,4096,bloat_sweep
20,0.9539076,example_0007,natural,0.5,4096,bloat_sweep
21,0.9645603,example_0007,natural,0.5,4096,bloat_sweep
22,0.9601778,example_0007,natural,0.5,4096,bloat_sweep
23,0.9425131,example_0007,natural,0.5,4096,bloat_sweep
0,0.99889266,example_0000,natural,0.5,8192,bloat_sweep
1,0.9985924,example_0000,natural,0.5,8192,bloat_sweep
2,0.99786115,example_0000,natural,0.5,8192,bloat_sweep
3,0.99506915,example_0000,natural,0.5,8192,bloat_sweep
4,0.99259585,example_0000,natural,0.5,8192,bloat_sweep
5,0.9900428,example_0000,natural,0.5,8192,bloat_sweep
6,0.98691785,example_0000,natural,0.5,8192,bloat_sweep
7,0.98664945,example_0000,natural,0.5,8192,bloat_sweep
8,0.98342496,example_0000,natural,0.5,8192,bloat_sweep
9,0.98606616,example_0000,natural,0.5,8192,bloat_sweep
10,0.98448765,example_0000,natural,0.5,8192,bloat_sweep
11,0.97703105,example_0000,natural,0.5,8192,bloat_sweep
12,0.9467181,example_0000,natural,0.5,8192,bloat_sweep
13,0.9193502,example_0000,natural,0.5,8192,bloat_sweep
14,0.9249766,example_0000,natural,0.5,8192,bloat_sweep
15,0.90897,example_0000,natural,0.5,8192,bloat_sweep
16,0.8986459,example_0000,natural,0.5,8192,bloat_sweep
17,0.92470276,example_0000,natural,0.5,8192,bloat_sweep
18,0.91957545,example_0000,natural,0.5,8192,bloat_sweep
19,0.8842044,example_0000,natural,0.5,8192,bloat_sweep
20,0.86331487,example_0000,natural,0.5,8192,bloat_sweep
21,0.91345,example_0000,natural,0.5,8192,bloat_sweep
22,0.91137975,example_0000,natural,0.5,8192,bloat_sweep
23,0.8608012,example_0000,natural,0.5,8192,bloat_sweep
0,0.99918896,example_0001,natural,0.5,8192,bloat_sweep
1,0.9980971,example_0001,natural,0.5,8192,bloat_sweep
2,0.9969037,example_0001,natural,0.5,8192,bloat_sweep
3,0.99488777,example_0001,natural,0.5,8192,bloat_sweep
4,0.9928398,example_0001,natural,0.5,8192,bloat_sweep
5,0.9864941,example_0001,natural,0.5,8192,bloat_sweep
6,0.9797564,example_0001,natural,0.5,8192,bloat_sweep
7,0.97996074,example_0001,natural,0.5,8192,bloat_sweep
8,0.97587365,example_0001,natural,0.5,8192,bloat_sweep
9,0.9806409,example_0001,natural,0.5,8192,bloat_sweep
10,0.97849095,example_0001,natural,0.5,8192,bloat_sweep
11,0.97104204,example_0001,natural,0.5,8192,bloat_sweep
12,0.9518473,example_0001,natural,0.5,8192,bloat_sweep
13,0.9341827,example_0001,natural,0.5,8192,bloat_sweep
14,0.93550897,example_0001,natural,0.5,8192,bloat_sweep
15,0.93013024,example_0001,natural,0.5,8192,bloat_sweep
16,0.92545754,example_0001,natural,0.5,8192,bloat_sweep
17,0.9484836,example_0001,natural,0.5,8192,bloat_sweep
18,0.95417124,example_0001,natural,0.5,8192,bloat_sweep
19,0.93918765,example_0001,natural,0.5,8192,bloat_sweep
20,0.90796316,example_0001,natural,0.5,8192,bloat_sweep
21,0.9320686,example_0001,natural,0.5,8192,bloat_sweep
22,0.9260997,example_0001,natural,0.5,8192,bloat_sweep
23,0.9002441,example_0001,natural,0.5,8192,bloat_sweep
0,0.998765,example_0002,natural,0.5,8192,bloat_sweep
1,0.9985841,example_0002,natural,0.5,8192,bloat_sweep
2,0.9973095,example_0002,natural,0.5,8192,bloat_sweep
3,0.99454844,example_0002,natural,0.5,8192,bloat_sweep
4,0.9920999,example_0002,natural,0.5,8192,bloat_sweep
5,0.9876165,example_0002,natural,0.5,8192,bloat_sweep
6,0.9831524,example_0002,natural,0.5,8192,bloat_sweep
7,0.9836877,example_0002,natural,0.5,8192,bloat_sweep
8,0.9780016,example_0002,natural,0.5,8192,bloat_sweep
9,0.9808927,example_0002,natural,0.5,8192,bloat_sweep
10,0.9793115,example_0002,natural,0.5,8192,bloat_sweep
11,0.9714604,example_0002,natural,0.5,8192,bloat_sweep
12,0.9561529,example_0002,natural,0.5,8192,bloat_sweep
13,0.9404004,example_0002,natural,0.5,8192,bloat_sweep
