layer,cosine_similarity,example_id,filler_type,sink_prefix_tokens,total_tokens,experiment
8,0.9617326,example_0006,natural,256,4096,sink_stress
9,0.9658319,example_0006,natural,256,4096,sink_stress
10,0.9648775,example_0006,natural,256,4096,sink_stress
11,0.9544161,example_0006,natural,256,4096,sink_stress
12,0.9357575,example_0006,natural,256,4096,sink_stress
13,0.9340989,example_0006,natural,256,4096,sink_stress
14,0.9382379,example_0006,natural,256,4096,sink_stress
15,0.94331926,example_0006,natural,256,4096,sink_stress
16,0.9490178,example_0006,natural,256,4096,sink_stress
17,0.96119726,example_0006,natural,256,4096,sink_stress
18,0.9718852,example_0006,natural,256,4096,sink_stress
19,0.9655821,example_0006,natural,256,4096,sink_stress
20,0.98284656,example_0006,natural,256,4096,sink_stress
21,0.98825073,example_0006,natural,256,4096,sink_stress
22,0.9880309,example_0006,natural,256,4096,sink_stress
23,0.9796395,example_0006,natural,256,4096,sink_stress
0,0.99980944,example_0007,natural,256,4096,sink_stress
1,0.9991123,example_0007,natural,256,4096,sink_stress
2,0.9984328,example_0007,natural,256,4096,sink_stress
3,0.9967601,example_0007,natural,256,4096,sink_stress
4,0.9893634,example_0007,natural,256,4096,sink_stress
5,0.9678165,example_0007,natural,256,4096,sink_stress
6,0.9656281,example_0007,natural,256,4096,sink_stress
7,0.96078354,example_0007,natural,256,4096,sink_stress
8,0.95863736,example_0007,natural,256,4096,sink_stress
9,0.9634451,example_0007,natural,256,4096,sink_stress
10,0.96195984,example_0007,natural,256,4096,sink_stress
11,0.9502105,example_0007,natural,256,4096,sink_stress
12,0.9297056,example_0007,natural,256,4096,sink_stress
13,0.927896,example_0007,natural,256,4096,sink_stress
14,0.93860084,example_0007,natural,256,4096,sink_stress
15,0.94534045,example_0007,natural,256,4096,sink_stress
16,0.9460168,example_0007,natural,256,4096,sink_stress
17,0.9598043,example_0007,natural,256,4096,sink_stress
18,0.9685359,example_0007,natural,256,4096,sink_stress
19,0.9535312,example_0007,natural,256,4096,sink_stress
20,0.9672199,example_0007,natural,256,4096,sink_stress
21,0.9763919,example_0007,natural,256,4096,sink_stress
22,0.9732085,example_0007,natural,256,4096,sink_stress
23,0.94781756,example_0007,natural,256,4096,sink_stress
0,0.9997195,example_0000,natural,512,4096,sink_stress
1,0.9982769,example_0000,natural,512,4096,sink_stress
2,0.99753046,example_0000,natural,512,4096,sink_stress
3,0.99615973,example_0000,natural,512,4096,sink_stress
4,0.9899548,example_0000,natural,512,4096,sink_stress
5,0.96755826,example_0000,natural,512,4096,sink_stress
6,0.9675568,example_0000,natural,512,4096,sink_stress
7,0.96443796,example_0000,natural,512,4096,sink_stress
8,0.9629376,example_0000,natural,512,4096,sink_stress
9,0.96760637,example_0000,natural,512,4096,sink_stress
10,0.96506125,example_0000,natural,512,4096,sink_stress
11,0.954717,example_0000,natural,512,4096,sink_stress
12,0.929579,example_0000,natural,512,4096,sink_stress
13,0.93015575,example_0000,natural,512,4096,sink_stress
14,0.939048,example_0000,natural,512,4096,sink_stress
15,0.9429554,example_0000,natural,512,4096,sink_stress
16,0.94081503,example_0000,natural,512,4096,sink_stress
17,0.9421974,example_0000,natural,512,4096,sink_stress
18,0.9459491,example_0000,natural,512,4096,sink_stress
19,0.93051076,example_0000,natural,512,4096,sink_stress
20,0.9521913,example_0000,natural,512,4096,sink_stress
21,0.963777,example_0000,natural,512,4096,sink_stress
22,0.9567278,example_0000,natural,512,4096,sink_stress
23,0.87967664,example_0000,natural,512,4096,sink_stress
0,0.9996032,example_0001,natural,512,4096,sink_stress
1,0.9984607,example_0001,natural,512,4096,sink_stress
2,0.99744546,example_0001,natural,512,4096,sink_stress
3,0.99711066,example_0001,natural,512,4096,sink_stress
4,0.9924077,example_0001,natural,512,4096,sink_stress
5,0.96932954,example_0001,natural,512,4096,sink_stress
6,0.96839887,example_0001,natural,512,4096,sink_stress
7,0.96535623,example_0001,natural,512,4096,sink_stress
8,0.9649285,example_0001,natural,512,4096,sink_stress
9,0.96775794,example_0001,natural,512,4096,sink_stress
10,0.9656795,example_0001,natural,512,4096,sink_stress
11,0.9565437,example_0001,natural,512,4096,sink_stress
12,0.9389574,example_0001,natural,512,4096,sink_stress
13,0.9342565,example_0001,natural,512,4096,sink_stress
14,0.9398847,example_0001,natural,512,4096,sink_stress
15,0.9453075,example_0001,natural,512,4096,sink_stress
16,0.93607134,example_0001,natural,512,4096,sink_stress
17,0.95010936,example_0001,natural,512,4096,sink_stress
18,0.95392966,example_0001,natural,512,4096,sink_stress
19,0.9338743,example_0001,natural,512,4096,sink_stress
20,0.9643476,example_0001,natural,512,4096,sink_stress
21,0.97275436,example_0001,natural,512,4096,sink_stress
22,0.9697789,example_0001,natural,512,4096,sink_stress
23,0.9353982,example_0001,natural,512,4096,sink_stress
0,0.99970454,example_0002,natural,512,4096,sink_stress
1,0.9986759,example_0002,natural,512,4096,sink_stress
2,0.9979553,example_0002,natural,512,4096,sink_stress
3,0.9976853,example_0002,natural,512,4096,sink_stress
4,0.9914244,example_0002,natural,512,4096,sink_stress
5,0.9706192,example_0002,natural,512,4096,sink_stress
6,0.9663054,example_0002,natural,512,4096,sink_stress
7,0.9615106,example_0002,natural,512,4096,sink_stress
8,0.9574349,example_0002,natural,512,4096,sink_stress
9,0.95979524,example_0002,natural,512,4096,sink_stress
10,0.9582545,example_0002,natural,512,4096,sink_stress
11,0.9459419,example_0002,natural,512,4096,sink_stress
12,0.9242581,example_0002,natural,512,4096,sink_stress
13,0.92005724,example_0002,natural,512,4096,sink_stress
14,0.92960274,example_0002,natural,512,4096,sink_stress
15,0.9405853,example_0002,natural,512,4096,sink_stress
16,0.9186104,example_0002,natural,512,4096,sink_stress
17,0.92858577,example_0002,natural,512,4096,sink_stress
18,0.93355125,example_0002,natural,512,4096,sink_stress
19,0.89993525,example_0002,natural,512,4096,sink_stress
20,0.9377546,example_0002,natural,512,4096,sink_stress
21,0.94635457,example_0002,natural,512,4096,sink_stress
22,0.92304343,example_0002,natural,512,4096,sink_stress
23,0.7713416,example_0002,natural,512,4096,sink_stress
0,0.9995842,example_0003,natural,512,4096,sink_stress
1,0.9983812,example_0003,natural,512,4096,sink_stress
2,0.99693465,example_0003,natural,512,4096,sink_stress
3,0.9961312,example_0003,natural,512,4096,sink_stress
4,0.99053943,example_0003,natural,512,4096,sink_stress
5,0.9670753,example_0003,natural,512,4096,sink_stress
6,0.96420366,example_0003,natural,512,4096,sink_stress
7,0.95598865,example_0003,natural,512,4096,sink_stress
8,0.9536463,example_0003,natural,512,4096,sink_stress
9,0.9585625,example_0003,natural,512,4096,sink_stress
10,0.9595055,example_0003,natural,512,4096,sink_stress
11,0.9492921,example_0003,natural,512,4096,sink_stress
12,0.93426937,example_0003,natural,512,4096,sink_stress
13,0.9315736,example_0003,natural,512,4096,sink_stress
14,0.9366137,example_0003,natural,512,4096,sink_stress
15,0.9431085,example_0003,natural,512,4096,sink_stress
16,0.93705976,example_0003,natural,512,4096,sink_stress
17,0.9438391,example_0003,natural,512,4096,sink_stress
18,0.9494697,example_0003,natural,512,4096,sink_stress
19,0.9305706,example_0003,natural,512,4096,sink_stress
20,0.9542546,example_0003,natural,512,4096,sink_stress
21,0.9634604,example_0003,natural,512,4096,sink_stress
22,0.95572305,example_0003,natural,512,4096,sink_stress
23,0.89204943,example_0003,natural,512,4096,sink_stress
0,0.9997761,example_0004,natural,512,4096,sink_stress
1,0.99868244,example_0004,natural,512,4096,sink_stress
