layer,head,relevant_mass,sink_mass,relevant_ratio,sink_over_relevant,example_id,filler_type,sink_prefix_tokens,total_tokens,experiment
12,8,5.543231964111328e-06,0.18349355459213257,5.544272265976267e-06,33102.2688172043,example_0000,natural,0,4096,sink_stress
12,9,4.106760025024414e-05,0.10910612344741821,4.1074548337947314e-05,2656.744557329463,example_0000,natural,0,4096,sink_stress
12,10,8.45193862915039e-05,0.41599106788635254,8.45270947489122e-05,4921.842031029619,example_0000,natural,0,4096,sink_stress
12,11,6.693601608276367e-05,0.31474757194519043,6.694300277220334e-05,4702.215494211932,example_0000,natural,0,4096,sink_stress
12,12,6.079673767089844e-06,0.411016583442688,6.0804203549582486e-06,67605.03921568628,example_0000,natural,0,4096,sink_stress
12,13,0.00011235475540161133,0.18592536449432373,0.00011234046610863949,1654.8063660477453,example_0000,natural,0,4096,sink_stress
13,0,0.0013173222541809082,0.027869343757629395,0.001317253632564851,21.156056287045836,example_0000,natural,0,4096,sink_stress
13,1,3.2186508178710938e-06,0.1568925380706787,3.2188685784242457e-06,48744.81481481482,example_0000,natural,0,4096,sink_stress
13,2,0.000522315502166748,0.6945740580558777,0.0005223304461606835,1329.7979002624672,example_0000,natural,0,4096,sink_stress
13,3,2.8252601623535156e-05,0.14435309171676636,2.8259757009015936e-05,5109.373417721519,example_0000,natural,0,4096,sink_stress
13,4,7.867813110351562e-06,0.14209556579589844,7.867654605671363e-06,18060.363636363636,example_0000,natural,0,4096,sink_stress
13,5,0.0014521479606628418,0.3636534810066223,0.0014521710711524484,250.4245372080614,example_0000,natural,0,4096,sink_stress
13,6,0.013237595558166504,0.28544682264328003,0.013236257511810063,21.563343689495248,example_0000,natural,0,4096,sink_stress
13,7,0.024359703063964844,0.6525334715843201,0.024364020480685776,26.78741484946952,example_0000,natural,0,4096,sink_stress
13,8,0.005723774433135986,0.9724016189575195,0.005723676179722562,169.88817961240875,example_0000,natural,0,4096,sink_stress
13,9,0.0015435218811035156,0.9323238134384155,0.0015437828402599678,604.0237102255174,example_0000,natural,0,4096,sink_stress
13,10,0.0004368424415588379,0.6768186092376709,0.0004368002122673811,1549.3426115431846,example_0000,natural,0,4096,sink_stress
13,11,0.0030254721641540527,0.746950089931488,0.003025714910761707,246.88711361531946,example_0000,natural,0,4096,sink_stress
13,12,0.0004413723945617676,0.9443514943122864,0.00044131820705494085,2139.5798784604995,example_0000,natural,0,4096,sink_stress
13,13,0.13419491052627563,0.21920359134674072,0.13418364938626673,1.6334717202543998,example_0000,natural,0,4096,sink_stress
14,0,0.008548498153686523,0.3776760697364807,0.008547564796286416,44.180400223120905,example_0000,natural,0,4096,sink_stress
14,1,0.0006839632987976074,0.12396234273910522,0.0006841113980172633,181.24122004357298,example_0000,natural,0,4096,sink_stress
14,2,0.0008235573768615723,0.206354558467865,0.0008234764880387612,250.56488383874935,example_0000,natural,0,4096,sink_stress
14,3,0.006600439548492432,0.4953981041908264,0.006599893531070881,75.05532026332662,example_0000,natural,0,4096,sink_stress
14,4,0.002010524272918701,0.2999664545059204,0.0020102927752946695,149.19812635261331,example_0000,natural,0,4096,sink_stress
14,5,0.050556838512420654,0.024194777011871338,0.050561663462114506,0.4785658621815768,example_0000,natural,0,4096,sink_stress
14,6,0.0008920431137084961,0.7176170945167542,0.0008918636481954868,804.4645863958306,example_0000,natural,0,4096,sink_stress
14,7,0.001365065574645996,0.21935921907424927,0.0013651121165830305,160.69500480307397,example_0000,natural,0,4096,sink_stress
14,8,0.014813363552093506,0.34005045890808105,0.014811647305347824,22.955654717596076,example_0000,natural,0,4096,sink_stress
14,9,0.20410048961639404,0.10522514581680298,0.20411075767752407,0.5155555776204808,example_0000,natural,0,4096,sink_stress
14,10,0.00010156631469726562,0.020015716552734375,0.00010158174823977132,197.07042253521126,example_0000,natural,0,4096,sink_stress
14,11,0.00392460823059082,0.0709676742553711,0.003924832577374083,18.08274102423911,example_0000,natural,0,4096,sink_stress
14,12,0.015553176403045654,0.5730432868003845,0.015553865225426107,36.84413215349181,example_0000,natural,0,4096,sink_stress
14,13,0.053140223026275635,0.24471646547317505,0.0531415375314996,4.60510798669725,example_0000,natural,0,4096,sink_stress
15,0,0.0007758140563964844,0.1714056134223938,0.0007756627816783398,220.93646281499693,example_0000,natural,0,4096,sink_stress
15,1,0.0017057061195373535,0.11078530550003052,0.0017054214966183583,64.94982003704092,example_0000,natural,0,4096,sink_stress
15,2,2.562999725341797e-06,0.14836448431015015,2.5630032389804423e-06,57887.04651162791,example_0000,natural,0,4096,sink_stress
15,3,1.9669532775878906e-06,0.24341589212417603,1.966781184984472e-06,123752.75757575757,example_0000,natural,0,4096,sink_stress
15,4,1.5974044799804688e-05,0.45288944244384766,1.5973092729286595e-05,28351.582089552237,example_0000,natural,0,4096,sink_stress
15,5,3.784894943237305e-05,0.516430675983429,3.7847920736559877e-05,13644.51811023622,example_0000,natural,0,4096,sink_stress
15,6,0.0826648473739624,0.09311997890472412,0.08266306376283872,1.1264761487245527,example_0000,natural,0,4096,sink_stress
15,7,0.01574718952178955,0.06168866157531738,0.015746378608279373,3.917439457368449,example_0000,natural,0,4096,sink_stress
15,8,0.002830207347869873,0.14838063716888428,0.0028299448851203174,52.42747930838405,example_0000,natural,0,4096,sink_stress
15,9,0.03220170736312866,0.008680641651153564,0.03220631259345482,0.2695708508019361,example_0000,natural,0,4096,sink_stress
15,10,0.03250163793563843,0.321972131729126,0.032506698816854335,9.906335562740354,example_0000,natural,0,4096,sink_stress
15,11,0.005157768726348877,0.09476470947265625,0.005157628543459426,18.37319866409347,example_0000,natural,0,4096,sink_stress
15,12,0.152818500995636,0.008463621139526367,0.15282937754850345,0.05538348488163787,example_0000,natural,0,4096,sink_stress
15,13,0.016424894332885742,0.07461798191070557,0.016422674261020183,4.5429809409066495,example_0000,natural,0,4096,sink_stress
16,0,0.058618247509002686,0.10386860370635986,0.05861124652993405,1.7719500005592552,example_0000,natural,0,4096,sink_stress
16,1,0.00037807226181030273,0.9928938150405884,0.0003781038808670554,2626.201166640391,example_0000,natural,0,4096,sink_stress
16,2,0.03465390205383301,0.7527129650115967,0.03465560207131533,21.720871832623548,example_0000,natural,0,4096,sink_stress
16,3,0.2567426562309265,0.08683985471725464,0.25672368184533784,0.3382369567725698,example_0000,natural,0,4096,sink_stress
16,4,0.002084970474243164,0.8674454092979431,0.0020849550643904217,416.0468553459119,example_0000,natural,0,4096,sink_stress
16,5,1.0728836059570312e-05,0.5087998509407043,1.0729587511141633e-05,47423.583333333336,example_0000,natural,0,4096,sink_stress
