layer,head,relevant_mass,sink_mass,relevant_ratio,sink_over_relevant,example_id,filler_type,correct_location,total_tokens,experiment
8,2,4.172325134277344e-07,0.04065316915512085,4.1722982759348273e-07,97435.28571428571,example_0000,natural,front,4096,competition_sweep
8,3,0.0,0.0,0.0,0.0,example_0000,natural,front,4096,competition_sweep
8,4,1.1920928955078125e-07,0.04284799098968506,1.1922543526821907e-07,359435.0,example_0000,natural,front,4096,competition_sweep
8,5,9.5367431640625e-07,0.0639696717262268,9.534671103308042e-07,67077.0625,example_0000,natural,front,4096,competition_sweep
8,6,7.808208465576172e-06,0.4082239866256714,7.808482599034955e-06,52281.3893129771,example_0000,natural,front,4096,competition_sweep
8,7,6.377696990966797e-06,0.05249303579330444,6.377047777318736e-06,8230.719626168224,example_0000,natural,front,4096,competition_sweep
8,8,5.185604095458984e-06,0.36500102281570435,5.184694923611565e-06,70387.36781609195,example_0000,natural,front,4096,competition_sweep
8,9,0.00011551380157470703,0.4309106469154358,0.00011551640422348956,3730.3823529411766,example_0000,natural,front,4096,competition_sweep
8,10,1.722574234008789e-05,0.5395604372024536,1.7224440539443253e-05,31322.913494809687,example_0000,natural,front,4096,competition_sweep
8,11,3.594160079956055e-05,0.4218904972076416,3.594378392194608e-05,11738.222222222223,example_0000,natural,front,4096,competition_sweep
8,12,7.3909759521484375e-06,0.43603819608688354,7.39001482651523e-06,58996.02419354839,example_0000,natural,front,4096,competition_sweep
8,13,1.3589859008789062e-05,0.26930177211761475,1.3589243422448571e-05,19816.377192982458,example_0000,natural,front,4096,competition_sweep
9,0,7.152557373046875e-07,0.44006097316741943,7.152695931564436e-07,615249.8333333334,example_0000,natural,front,4096,competition_sweep
9,1,1.3172626495361328e-05,0.4187326431274414,1.317561231124445e-05,31788.090497737558,example_0000,natural,front,4096,competition_sweep
9,2,5.304813385009766e-06,0.42031073570251465,5.305212132483665e-06,79231.95505617978,example_0000,natural,front,4096,competition_sweep
9,3,2.562999725341797e-05,0.41867172718048096,2.5628915710906786e-05,16335.223255813953,example_0000,natural,front,4096,competition_sweep
9,4,0.0003216266632080078,0.7321815490722656,0.00032170660464970975,2276.495181616012,example_0000,natural,front,4096,competition_sweep
9,5,4.827976226806641e-06,0.3299347758293152,4.828576877113732e-06,68338.11111111111,example_0000,natural,front,4096,competition_sweep
9,6,5.543231964111328e-05,0.32936596870422363,5.5435617252947e-05,5941.767741935484,example_0000,natural,front,4096,competition_sweep
9,7,4.708766937255859e-06,0.9995294809341431,4.709895478476493e-06,212269.8987341772,example_0000,natural,front,4096,competition_sweep
9,8,0.00036722421646118164,0.9910584092140198,0.0003671636397269509,2698.782827463074,example_0000,natural,front,4096,competition_sweep
9,9,0.000567018985748291,0.9933732748031616,0.0005668880189680148,1751.922421948912,example_0000,natural,front,4096,competition_sweep
9,10,0.00017458200454711914,0.9756671786308289,0.0001746161425678505,5588.589621031068,example_0000,natural,front,4096,competition_sweep
9,11,2.8073787689208984e-05,0.7046400308609009,2.8067771690666698e-05,25099.571125265393,example_0000,natural,front,4096,competition_sweep
9,12,0.0001596212387084961,0.7780205607414246,0.00015965121396326924,4874.166915608663,example_0000,natural,front,4096,competition_sweep
