layer,cosine_similarity,example_id,filler_type,position_ratio,total_tokens,experiment
19,0.9837938,example_0005,natural,0.3,4096,position_sweep
20,0.9894129,example_0005,natural,0.3,4096,position_sweep
21,0.99089146,example_0005,natural,0.3,4096,position_sweep
22,0.9916142,example_0005,natural,0.3,4096,position_sweep
23,0.9870014,example_0005,natural,0.3,4096,position_sweep
0,0.9998261,example_0006,natural,0.3,4096,position_sweep
1,0.99954695,example_0006,natural,0.3,4096,position_sweep
2,0.9993763,example_0006,natural,0.3,4096,position_sweep
3,0.99867827,example_0006,natural,0.3,4096,position_sweep
4,0.99764234,example_0006,natural,0.3,4096,position_sweep
5,0.9952547,example_0006,natural,0.3,4096,position_sweep
6,0.99401987,example_0006,natural,0.3,4096,position_sweep
7,0.99343574,example_0006,natural,0.3,4096,position_sweep
8,0.99253744,example_0006,natural,0.3,4096,position_sweep
9,0.9912324,example_0006,natural,0.3,4096,position_sweep
10,0.99030703,example_0006,natural,0.3,4096,position_sweep
11,0.98840004,example_0006,natural,0.3,4096,position_sweep
12,0.972932,example_0006,natural,0.3,4096,position_sweep
13,0.9656066,example_0006,natural,0.3,4096,position_sweep
14,0.9651053,example_0006,natural,0.3,4096,position_sweep
15,0.96224314,example_0006,natural,0.3,4096,position_sweep
16,0.96349645,example_0006,natural,0.3,4096,position_sweep
17,0.97408485,example_0006,natural,0.3,4096,position_sweep
18,0.9741033,example_0006,natural,0.3,4096,position_sweep
19,0.9637729,example_0006,natural,0.3,4096,position_sweep
20,0.9696989,example_0006,natural,0.3,4096,position_sweep
21,0.9775521,example_0006,natural,0.3,4096,position_sweep
22,0.9738093,example_0006,natural,0.3,4096,position_sweep
23,0.9665889,example_0006,natural,0.3,4096,position_sweep
0,0.99978065,example_0007,natural,0.3,4096,position_sweep
1,0.9993787,example_0007,natural,0.3,4096,position_sweep
2,0.99872077,example_0007,natural,0.3,4096,position_sweep
3,0.9972554,example_0007,natural,0.3,4096,position_sweep
4,0.99553895,example_0007,natural,0.3,4096,position_sweep
5,0.99197775,example_0007,natural,0.3,4096,position_sweep
6,0.9895826,example_0007,natural,0.3,4096,position_sweep
7,0.985955,example_0007,natural,0.3,4096,position_sweep
8,0.98461133,example_0007,natural,0.3,4096,position_sweep
9,0.98485523,example_0007,natural,0.3,4096,position_sweep
10,0.9839153,example_0007,natural,0.3,4096,position_sweep
11,0.9807736,example_0007,natural,0.3,4096,position_sweep
12,0.9799776,example_0007,natural,0.3,4096,position_sweep
13,0.9800268,example_0007,natural,0.3,4096,position_sweep
14,0.97960997,example_0007,natural,0.3,4096,position_sweep
15,0.97718966,example_0007,natural,0.3,4096,position_sweep
16,0.97605765,example_0007,natural,0.3,4096,position_sweep
17,0.9809281,example_0007,natural,0.3,4096,position_sweep
18,0.9835167,example_0007,natural,0.3,4096,position_sweep
19,0.97956806,example_0007,natural,0.3,4096,position_sweep
20,0.9857965,example_0007,natural,0.3,4096,position_sweep
21,0.98974526,example_0007,natural,0.3,4096,position_sweep
22,0.9899253,example_0007,natural,0.3,4096,position_sweep
23,0.9841202,example_0007,natural,0.3,4096,position_sweep
0,0.99960196,example_0000,natural,0.5,4096,position_sweep
1,0.99898386,example_0000,natural,0.5,4096,position_sweep
2,0.99844867,example_0000,natural,0.5,4096,position_sweep
3,0.9967269,example_0000,natural,0.5,4096,position_sweep
4,0.9959938,example_0000,natural,0.5,4096,position_sweep
5,0.99269986,example_0000,natural,0.5,4096,position_sweep
6,0.9906907,example_0000,natural,0.5,4096,position_sweep
7,0.98831856,example_0000,natural,0.5,4096,position_sweep
8,0.9879295,example_0000,natural,0.5,4096,position_sweep
9,0.9885473,example_0000,natural,0.5,4096,position_sweep
10,0.9873145,example_0000,natural,0.5,4096,position_sweep
11,0.9851354,example_0000,natural,0.5,4096,position_sweep
12,0.9768132,example_0000,natural,0.5,4096,position_sweep
13,0.97351813,example_0000,natural,0.5,4096,position_sweep
14,0.9785992,example_0000,natural,0.5,4096,position_sweep
15,0.97643703,example_0000,natural,0.5,4096,position_sweep
16,0.9757454,example_0000,natural,0.5,4096,position_sweep
17,0.9810701,example_0000,natural,0.5,4096,position_sweep
18,0.9816597,example_0000,natural,0.5,4096,position_sweep
19,0.9768302,example_0000,natural,0.5,4096,position_sweep
20,0.9836824,example_0000,natural,0.5,4096,position_sweep
21,0.9890619,example_0000,natural,0.5,4096,position_sweep
22,0.9875181,example_0000,natural,0.5,4096,position_sweep
23,0.98097646,example_0000,natural,0.5,4096,position_sweep
0,0.9998898,example_0001,natural,0.5,4096,position_sweep
1,0.9995834,example_0001,natural,0.5,4096,position_sweep
2,0.99930286,example_0001,natural,0.5,4096,position_sweep
3,0.99853605,example_0001,natural,0.5,4096,position_sweep
4,0.997925,example_0001,natural,0.5,4096,position_sweep
5,0.99587595,example_0001,natural,0.5,4096,position_sweep
6,0.99459755,example_0001,natural,0.5,4096,position_sweep
7,0.9935784,example_0001,natural,0.5,4096,position_sweep
8,0.99278826,example_0001,natural,0.5,4096,position_sweep
9,0.9926476,example_0001,natural,0.5,4096,position_sweep
10,0.99208385,example_0001,natural,0.5,4096,position_sweep
11,0.99022555,example_0001,natural,0.5,4096,position_sweep
12,0.98503214,example_0001,natural,0.5,4096,position_sweep
13,0.9824655,example_0001,natural,0.5,4096,position_sweep
14,0.9839126,example_0001,natural,0.5,4096,position_sweep
15,0.9797765,example_0001,natural,0.5,4096,position_sweep
16,0.9782102,example_0001,natural,0.5,4096,position_sweep
17,0.9842983,example_0001,natural,0.5,4096,position_sweep
18,0.9868156,example_0001,natural,0.5,4096,position_sweep
19,0.98567045,example_0001,natural,0.5,4096,position_sweep
20,0.98450595,example_0001,natural,0.5,4096,position_sweep
21,0.9817457,example_0001,natural,0.5,4096,position_sweep
22,0.9789189,example_0001,natural,0.5,4096,position_sweep
23,0.9738161,example_0001,natural,0.5,4096,position_sweep
0,0.99969554,example_0002,natural,0.5,4096,position_sweep
1,0.9994023,example_0002,natural,0.5,4096,position_sweep
2,0.99909794,example_0002,natural,0.5,4096,position_sweep
3,0.9975785,example_0002,natural,0.5,4096,position_sweep
4,0.99645627,example_0002,natural,0.5,4096,position_sweep
5,0.99434364,example_0002,natural,0.5,4096,position_sweep
6,0.9933098,example_0002,natural,0.5,4096,position_sweep
7,0.9934121,example_0002,natural,0.5,4096,position_sweep
8,0.99252903,example_0002,natural,0.5,4096,position_sweep
9,0.99123514,example_0002,natural,0.5,4096,position_sweep
10,0.98995,example_0002,natural,0.5,4096,position_sweep
11,0.9875407,example_0002,natural,0.5,4096,position_sweep
12,0.97373676,example_0002,natural,0.5,4096,position_sweep
13,0.9673917,example_0002,natural,0.5,4096,position_sweep
14,0.9634487,example_0002,natural,0.5,4096,position_sweep
15,0.9595624,example_0002,natural,0.5,4096,position_sweep
16,0.9553323,example_0002,natural,0.5,4096,position_sweep
17,0.96176255,example_0002,natural,0.5,4096,position_sweep
18,0.96339417,example_0002,natural,0.5,4096,position_sweep
19,0.95055133,example_0002,natural,0.5,4096,position_sweep
20,0.96870124,example_0002,natural,0.5,4096,position_sweep
21,0.9744605,example_0002,natural,0.5,4096,position_sweep
22,0.9698738,example_0002,natural,0.5,4096,position_sweep
23,0.9621195,example_0002,natural,0.5,4096,position_sweep
0,0.9997607,example_0003,natural,0.5,4096,position_sweep
1,0.9994452,example_0003,natural,0.5,4096,position_sweep
2,0.99895096,example_0003,natural,0.5,4096,position_sweep
3,0.99719757,example_0003,natural,0.5,4096,position_sweep
4,0.9955967,example_0003,natural,0.5,4096,position_sweep
5,0.9926926,example_0003,natural,0.5,4096,position_sweep
6,0.9920742,example_0003,natural,0.5,4096,position_sweep
7,0.992378,example_0003,natural,0.5,4096,position_sweep
8,0.98939544,example_0003,natural,0.5,4096,position_sweep
9,0.9876182,example_0003,natural,0.5,4096,position_sweep
10,0.9857556,example_0003,natural,0.5,4096,position_sweep
11,0.9811811,example_0003,natural,0.5,4096,position_sweep
12,0.95655763,example_0003,natural,0.5,4096,position_sweep
13,0.9490696,example_0003,natural,0.5,4096,position_sweep
14,0.9475039,example_0003,natural,0.5,4096,position_sweep
15,0.9418292,example_0003,natural,0.5,4096,position_sweep
16,0.94154274,example_0003,natural,0.5,4096,position_sweep
17,0.9512179,example_0003,natural,0.5,4096,position_sweep
18,0.94778323,example_0003,natural,0.5,4096,position_sweep
19,0.9301002,example_0003,natural,0.5,4096,position_sweep
20,0.9506607,example_0003,natural,0.5,4096,position_sweep
